# Atmospheric Model 12 (Windhoek, Namibia, June) as fitted to radiosonde data                  
#Col. #1          #2           #3            #4        [ #5 ]     [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [K]    p [mbar]      pw / p
     0.000    1.20136E-03  1.03923E+03  2.78292E-04    292.45   1.01400E+03  1.23000E-02 (extrapolated)
     1.726    1.00183E-03  8.49532E+02  2.31705E-04    287.28   8.28516E+02  6.00256E-03
     2.000    9.76141E-04  8.22434E+02  2.25721E-04    285.50   8.02028E+02  5.26629E-03
     3.000    8.86374E-04  7.29355E+02  2.04849E-04    279.00   7.11066E+02  3.14018E-03
     4.000    8.02766E-04  6.44945E+02  1.85455E-04    272.49   6.28600E+02  1.75997E-03
     5.000    7.25143E-04  5.68595E+02  1.67479E-04    265.97   5.54033E+02  9.27161E-04
     6.000    6.53291E-04  4.99716E+02  1.50860E-04    259.45   4.86784E+02  4.59098E-04
     7.000    5.86963E-04  4.37745E+02  1.35528E-04    252.92   4.26298E+02  2.13676E-04
     8.000    5.25888E-04  3.82142E+02  1.21417E-04    246.39   3.72044E+02  9.34771E-05
     9.000    4.69780E-04  3.32396E+02  1.08457E-04    239.86   3.23521E+02  3.84375E-05
    10.000    4.18344E-04  2.88025E+02  9.65784E-05    233.34   2.80254E+02  1.48561E-05
    11.000    3.71274E-04  2.48577E+02  8.57087E-05    226.85   2.41799E+02  0.00000E+00
    12.000    3.28227E-04  2.13632E+02  7.57692E-05    220.47   2.07745E+02  0.00000E+00
    13.000    2.88808E-04  1.82806E+02  6.66681E-05    214.35   1.77715E+02  0.00000E+00
    14.000    2.52552E-04  1.55761E+02  5.82976E-05    208.79   1.51375E+02  0.00000E+00
    15.000    2.18993E-04  1.32203E+02  5.05501E-05    204.31   1.28439E+02  0.00000E+00
    16.000    1.87880E-04  1.11878E+02  4.33677E-05    201.47   1.08657E+02  0.00000E+00
    17.000    1.59399E-04  9.45364E+01  3.67932E-05    200.59   9.17846E+01  0.00000E+00
    18.000    1.34050E-04  7.98909E+01  3.09418E-05    201.51   7.75392E+01  0.00000E+00
    19.000    1.12207E-04  6.76067E+01  2.58998E-05    203.65   6.55944E+01  0.00000E+00
    20.000    9.38397E-05  5.73312E+01  2.16601E-05    206.43   5.56060E+01  0.00000E+00
    21.000    7.85942E-05  4.87328E+01  1.81410E-05    209.44   4.72505E+01  0.00000E+00
    22.000    6.59945E-05  4.15228E+01  1.52327E-05    212.45   4.02463E+01  0.00000E+00
    23.000    5.55768E-05  3.54601E+01  1.28281E-05    215.37   3.43585E+01  0.00000E+00
    24.000    4.69414E-05  3.03472E+01  1.08348E-05    218.15   2.93946E+01  0.00000E+00
    25.000    3.97598E-05  2.60227E+01  9.17719E-06    220.78   2.51975E+01  0.00000E+00
    27.500    2.65502E-05  1.78545E+01  6.12819E-06    226.66   1.72742E+01  0.00000E+00
    30.000    1.79818E-05  1.23629E+01  4.15044E-06    231.55   1.19513E+01  0.00000E+00
    32.500    1.24123E-05  8.58155E+00  2.86493E-06    232.65   8.28901E+00  0.00000E+00
    35.000    8.49368E-06  5.99964E+00  1.96045E-06    237.50   5.79036E+00  0.00000E+00
    37.500    5.83716E-06  4.22990E+00  1.34729E-06    243.45   4.07903E+00  0.00000E+00
    40.000    4.04534E-06  3.00913E+00  9.33714E-07    249.70   2.89947E+00  0.00000E+00
    42.500    2.83334E-06  2.15908E+00  6.53970E-07    255.60   2.07876E+00  0.00000E+00
    45.000    2.00970E-06  1.56021E+00  4.63864E-07    260.20   1.50101E+00  0.00000E+00
    47.500    1.44439E-06  1.13275E+00  3.33384E-07    262.65   1.08895E+00  0.00000E+00
    50.000    1.04986E-06  8.23791E-01  2.42321E-07    262.60   7.91355E-01  0.00000E+00
    55.000    5.67816E-07  4.32255E-01  1.31059E-07    254.40   4.14638E-01  0.00000E+00
    60.000    3.07974E-07  2.19462E-01  7.10841E-08    237.80   2.10218E-01  0.00000E+00
    65.000    1.59990E-07  1.05914E-01  3.69276E-08    220.60   1.01308E-01  0.00000E+00
    70.000    7.75359E-08  4.86537E-02  1.78962E-08    208.80   4.64705E-02  0.00000E+00
    75.000    3.54326E-08  2.17103E-02  8.17828E-09    203.60   2.07074E-02  0.00000E+00
    80.000    1.60486E-08  9.45859E-03  3.70420E-09    195.60   9.01051E-03  0.00000E+00
    85.000    7.06615E-09  3.96582E-03  1.63095E-09    186.10   3.77462E-03  0.00000E+00
    90.000    2.96959E-09  1.59315E-03  6.85417E-10    177.90   1.51641E-03  0.00000E+00
    95.000    1.18319E-09  6.17839E-04  2.73093E-10    173.60   5.89585E-04  0.00000E+00
   100.000    4.45528E-10  2.38794E-04  1.02833E-10    179.80   2.29937E-04  0.00000E+00
   105.000    1.64548E-10  9.80365E-05  3.79797E-11    204.50   9.65897E-05  0.00000E+00
   110.000    6.50875E-11  4.49049E-05  1.50230E-11    248.00   4.63333E-05  0.00000E+00
   115.000    2.93134E-11  2.27241E-05  6.76589E-12    301.70   2.53855E-05  0.00000E+00
   120.000    1.48203E-11  1.21880E-05  3.42070E-12    363.20   1.54506E-05  0.00000E+00
