# Atmospheric Model 20 (South America at long=292, lat=-23) as loosely adapted to MSIS-E 90 model
#Col. #1          #2           #3            #4        [ #5 ]     [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [K]    p [mbar]      pw / p
     0.000    1.19623E-03  1.04538E+03  2.77126E-04    295.40   1.02000E+03  1.27000E-02
     1.000    1.08736E-03  9.31272E+02  2.51758E-04    289.70   9.08413E+02  1.04245E-02
     2.000    9.87082E-04  8.27612E+02  2.28406E-04    283.80   8.07078E+02  8.13586E-03
     3.000    8.94380E-04  7.33597E+02  2.06843E-04    277.80   7.15200E+02  6.03745E-03
     4.000    8.08752E-04  6.48495E+02  1.86951E-04    271.70   6.32059E+02  4.25994E-03
     5.000    7.30273E-04  5.71593E+02  1.68744E-04    265.30   5.56953E+02  2.85794E-03
     6.000    6.57646E-04  5.02245E+02  1.51916E-04    258.90   4.89245E+02  1.82307E-03
     7.000    5.90823E-04  4.39866E+02  1.36450E-04    252.40   4.28361E+02  1.10574E-03
     8.000    5.29656E-04  3.83884E+02  1.22304E-04    245.70   3.73738E+02  6.37681E-04
     9.000    4.73545E-04  3.33763E+02  1.09335E-04    238.90   3.24848E+02  3.49666E-04
    10.000    4.22030E-04  2.89023E+02  9.74288E-05    232.10   2.81221E+02  0.00000E+00
    11.000    3.74635E-04  2.49225E+02  8.64847E-05    225.40   2.42426E+02  0.00000E+00
    12.000    3.30964E-04  2.13980E+02  7.64009E-05    219.00   2.08079E+02  0.00000E+00
    13.000    2.90064E-04  1.82965E+02  6.69580E-05    213.60   1.77864E+02  0.00000E+00
    14.000    2.52147E-04  1.55892E+02  5.82041E-05    209.30   1.51498E+02  0.00000E+00
    15.000    2.17004E-04  1.32475E+02  5.00911E-05    206.60   1.28699E+02  0.00000E+00
    16.000    1.85150E-04  1.12408E+02  4.27377E-05    205.40   1.09169E+02  0.00000E+00
    17.000    1.56776E-04  9.53512E+01  3.61879E-05    205.70   9.25728E+01  0.00000E+00
    18.000    1.32259E-04  8.09354E+01  3.05285E-05    206.90   7.85509E+01  0.00000E+00
    19.000    1.11347E-04  6.87867E+01  2.57014E-05    208.80   6.67379E+01  0.00000E+00
    20.000    9.38109E-05  5.85553E+01  2.16535E-05    210.90   5.67923E+01  0.00000E+00
    21.000    7.91745E-05  4.99279E+01  1.82750E-05    213.00   4.84086E+01  0.00000E+00
    22.000    6.69649E-05  4.26390E+01  1.54567E-05    215.00   4.13277E+01  0.00000E+00
    23.000    5.67529E-05  3.64679E+01  1.30995E-05    216.90   3.53347E+01  0.00000E+00
    24.000    4.81902E-05  3.12330E+01  1.11231E-05    218.70   3.02524E+01  0.00000E+00
    25.000    4.09935E-05  2.67840E+01  9.46195E-06    220.40   2.59345E+01  0.00000E+00
    27.500    2.75188E-05  1.83378E+01  6.35174E-06    224.60   1.77414E+01  0.00000E+00
    30.000    1.86282E-05  1.26449E+01  4.29964E-06    228.60   1.22235E+01  0.00000E+00
    32.500    1.26919E-05  8.77908E+00  2.92945E-06    232.75   8.47934E+00  0.00000E+00
    35.000    8.67697E-06  6.13991E+00  2.00276E-06    237.90   5.92527E+00  0.00000E+00
    37.500    5.95867E-06  4.33261E+00  1.37534E-06    244.25   4.17762E+00  0.00000E+00
    40.000    4.12619E-06  3.08693E+00  9.52376E-07    251.10   2.97400E+00  0.00000E+00
    42.500    2.89239E-06  2.21961E+00  6.67600E-07    257.35   2.13661E+00  0.00000E+00
    45.000    2.05548E-06  1.60783E+00  4.74429E-07    262.10   1.54641E+00  0.00000E+00
    47.500    1.48347E-06  1.16980E+00  3.42403E-07    264.00   1.12416E+00  0.00000E+00
    50.000    1.08269E-06  8.51912E-01  2.49898E-07    263.20   8.17964E-01  0.00000E+00
    55.000    5.87505E-07  4.47313E-01  1.35603E-07    254.20   4.28678E-01  0.00000E+00
    60.000    3.17179E-07  2.27583E-01  7.32086E-08    239.00   2.17593E-01  0.00000E+00
    65.000    1.64451E-07  1.10816E-01  3.79573E-08    223.70   1.05596E-01  0.00000E+00
    70.000    8.03835E-08  5.17998E-02  1.85535E-08    212.70   4.90770E-02  0.00000E+00
    75.000    3.74148E-08  2.36676E-02  8.63578E-09    206.50   2.21772E-02  0.00000E+00
    80.000    1.72815E-08  1.06118E-02  3.98879E-09    195.80   9.71268E-03  0.00000E+00
    85.000    7.65426E-09  4.67274E-03  1.76669E-09    184.40   4.05143E-03  0.00000E+00
    90.000    3.17969E-09  2.11237E-03  7.33910E-10    176.90   1.61457E-03  0.00000E+00
    95.000    1.24613E-09  1.07619E-03  2.87621E-10    176.10   6.29892E-04  0.00000E+00
   100.000    4.71438E-10  6.77168E-04  1.08814E-10    185.70   2.51293E-04  0.00000E+00
   105.000    1.79294E-10  5.26536E-04  4.13832E-11    211.00   1.08591E-04  0.00000E+00
   110.000    7.30177E-11  4.67859E-04  1.68534E-11    253.30   5.30893E-05  0.00000E+00
   115.000    3.32196E-11  4.42833E-04  7.66748E-12    308.90   2.94548E-05  0.00000E+00
   120.000    1.68221E-11  4.30886E-04  3.88274E-12    376.70   1.81895E-05  0.00000E+00
