# This is a model profile derived for the San Antonio de los Cobres (SAC) CTA site candidate, using the measured
# and model profiles for Windhoek/the H.E.S.S. site as an indicator of a bias in
# the lower atmosphere profile of the NRLMSISE-00 model (which mainly aims at
# the upper atmosphere but provides reasonable results also in the troposphere and
# stratosphere). A compensation for such a bias was found to go to a geographic
# latitude some six to seven degrees closer to the equator.
#
# E.long = -66.250 deg, Lat.=-18.000 deg, LST=0.0 h
# Latitude = -18.00000 deg, g=9.78525 (9.78524) m/s^2, reff=6339.029077 km
# Atmospheric Model from annual average NRLMSISE-00 model for east longitude -66.250, latitude -18.000
# H(200 g/cm^2) = 12.450 km, H(300 g/cm^2) = 9.741, H(400 g/cm^2) = 7.653, H(500 g/cm^2) = 5.950 km
#Col. #1          #2           #3            #4        [ #5 ]     [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [K]    p [mbar]      pw / p
    0.000     1.17098e-03  1.02685e+03   2.70915e-04   298.09   1.00588e+03  1.03945e-02
    1.000     1.06527e-03  9.15085e+02   2.46351e-04   291.92   8.95463e+02  8.36105e-03
    2.000     9.65463e-04  8.13604e+02   2.23197e-04   286.31   7.95492e+02  6.85522e-03
    3.000     8.72542e-04  7.21765e+02   2.01662e-04   280.96   7.05189e+02  5.65346e-03
    4.000     7.86958e-04  6.38853e+02   1.81840e-04   275.66   6.23774e+02  4.62812e-03
    5.000     7.08764e-04  5.64128e+02   1.63738e-04   270.20   5.50475e+02  3.71189e-03
    6.000     6.37734e-04  4.96862e+02   1.47300e-04   264.41   4.84553e+02  2.87887e-03
    7.000     5.73454e-04  4.36357e+02   1.32430e-04   258.17   4.25308e+02  2.13138e-03
    8.000     5.15392e-04  3.81964e+02   1.19003e-04   251.38   3.72095e+02  1.48710e-03
    9.000     4.62953e-04  3.33091e+02   1.06881e-04   243.97   3.24325e+02  9.65499e-04
   10.000     4.15525e-04  2.89207e+02   9.59224e-05   235.94   2.81470e+02  5.76058e-04
   11.000     3.72253e-04  2.49847e+02   8.59276e-05   227.45   2.43067e+02  3.16559e-04
   12.000     3.31672e-04  2.14669e+02   7.65573e-05   219.28   2.08772e+02  1.70150e-04
