# This is a model profile derived for the Yavapai Ranch CTA site candidate, using the measured
# and model profiles for Windhoek/the H.E.S.S. site as an indicator of a bias in
# the lower atmosphere profile of the NRLMSISE-00 model (which mainly aims at
# the upper atmosphere but provides reasonable results also in the troposphere and
# stratosphere). A compensation for such a bias was found to go to a geographic
# latitude some six to seven degrees closer to the equator.
# Because of the closeness of the Meteor Crater site candidate, the same applies to that.
#
# E.long = -112.870 deg, Lat.=30.000 deg, LST=0.0 h
# Latitude = 30.00000 deg, g=9.79321 (9.79323) m/s^2, reff=6345.648052 km
# Atmospheric Model from annual average NRLMSISE-00 model for east longitude -112.870, latitude 30.000
# H(200 g/cm^2) = 12.457 km, H(300 g/cm^2) = 9.771, H(400 g/cm^2) = 7.730, H(500 g/cm^2) = 6.064 km
#Col. #1          #2           #3            #4        [ #5 ]     [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [K]    p [mbar]      pw / p
    0.000     1.21220e-03  1.04920e+03   2.80328e-04   294.48   1.02791e+03  8.38004e-03
    1.000     1.09479e-03  9.33961e+02   2.53126e-04   290.17   9.14426e+02  7.42572e-03
    2.000     9.89678e-04  8.29831e+02   2.28765e-04   285.13   8.11905e+02  6.27425e-03
    3.000     8.94898e-04  7.35681e+02   2.06801e-04   279.48   7.19273e+02  5.06964e-03
    4.000     8.08903e-04  6.50559e+02   1.86880e-04   273.34   6.35607e+02  3.92863e-03
    5.000     7.30461e-04  5.73650e+02   1.68719e-04   266.84   5.60103e+02  2.92820e-03
    6.000     6.58603e-04  5.04249e+02   1.52092e-04   260.07   4.92049e+02  2.10516e-03
    7.000     5.92573e-04  4.41737e+02   1.36823e-04   253.14   4.30818e+02  1.46391e-03
    8.000     5.31778e-04  3.85561e+02   1.22771e-04   246.14   3.75848e+02  9.87408e-04
    9.000     4.75759e-04  3.35224e+02   1.09829e-04   239.12   3.26631e+02  6.47798e-04
   10.000     4.24156e-04  2.90264e+02   9.79108e-05   232.17   2.82705e+02  4.14537e-04
   11.000     3.76567e-04  2.50260e+02   8.69223e-05   225.39   2.43648e+02  2.61223e-04
   12.000     3.32347e-04  2.14841e+02   7.67131e-05   219.17   2.09092e+02  1.68061e-04
   13.000     2.91139e-04  1.83693e+02   6.72006e-05   213.85   1.78718e+02  1.15162e-04
   14.000     2.52872e-04  1.56518e+02   5.83672e-05   209.72   1.52233e+02  8.76386e-05
   15.000     2.17614e-04  1.33021e+02   5.02291e-05   207.05   1.29338e+02  7.71903e-05
   16.000     1.85583e-04  1.12891e+02   4.28357e-05   205.98   1.09731e+02  8.08357e-05
   17.000     1.57230e-04  9.57822e+01   3.62905e-05   206.22   9.30680e+01  0.00000e+00
   18.000     1.32693e-04  8.13177e+01   3.06272e-05   207.38   7.89867e+01  0.00000e+00
   19.000     1.11816e-04  6.91216e+01   2.58084e-05   209.12   6.71173e+01  0.00000e+00
   20.000     9.42754e-05  5.88432e+01   2.17599e-05   211.07   5.71173e+01  0.00000e+00
   21.000     7.96510e-05  5.01690e+01   1.83844e-05   212.92   4.86809e+01  0.00000e+00
   22.000     6.74385e-05  4.28326e+01   1.55656e-05   214.63   4.15479e+01  0.00000e+00
   23.000     5.72047e-05  3.66153e+01   1.32035e-05   216.23   3.55050e+01  0.00000e+00
   24.000     4.86022e-05  3.13372e+01   1.12180e-05   217.74   3.03767e+01  0.00000e+00
   25.000     4.13508e-05  2.68498e+01   9.54425e-06   219.20   2.60180e+01  0.00000e+00
   26.000     3.52229e-05  2.30296e+01   8.12988e-06   220.65   2.23086e+01  0.00000e+00
   27.000     3.00334e-05  1.97739e+01   6.93206e-06   222.12   1.91484e+01  0.00000e+00
   28.000     2.56301e-05  1.69967e+01   5.91573e-06   223.65   1.64535e+01  0.00000e+00
   29.000     2.18879e-05  1.46259e+01   5.05198e-06   225.28   1.41536e+01  0.00000e+00
   30.000     1.87031e-05  1.26006e+01   4.31691e-06   227.06   1.21896e+01  0.00000e+00
   32.000     1.36757e-05  9.38931e+00   3.15652e-06   231.23   9.07695e+00  0.00000e+00
   34.000     1.00194e-05  7.03930e+00   2.31260e-06   236.46   6.80062e+00  0.00000e+00
   36.000     7.37231e-06  5.31442e+00   1.70162e-06   242.47   5.13102e+00  0.00000e+00
   38.000     5.45993e-06  4.04153e+00   1.26022e-06   248.84   3.89980e+00  0.00000e+00
   40.000     4.07729e-06  3.09523e+00   9.41088e-07   255.06   2.98510e+00  0.00000e+00
   42.000     3.07457e-06  2.38535e+00   7.09647e-07   260.54   2.29934e+00  0.00000e+00
   44.000     2.34358e-06  1.84733e+00   5.40927e-07   264.58   1.77986e+00  0.00000e+00
   46.000     1.80665e-06  1.43501e+00   4.16996e-07   266.48   1.38191e+00  0.00000e+00
   48.000     1.40605e-06  1.11562e+00   3.24532e-07   266.06   1.07380e+00  0.00000e+00
   50.000     1.10082e-06  8.66263e-01   2.54083e-07   263.75   8.33408e-01  0.00000e+00
   55.000     6.00128e-07  4.53413e-01   1.38517e-07   253.03   4.35879e-01  0.00000e+00
   60.000     3.20539e-07  2.29948e-01   7.39842e-08   240.28   2.21080e-01  0.00000e+00
   65.000     1.65112e-07  1.12384e-01   3.81098e-08   228.01   1.08063e-01  0.00000e+00
   70.000     8.15568e-08  5.29480e-02   1.88243e-08   217.37   5.08856e-02  0.00000e+00
   75.000     3.85547e-08  2.41513e-02   8.89889e-09   209.11   2.31419e-02  0.00000e+00
   80.000     1.76320e-08  1.07463e-02   4.06967e-09   202.92   1.02699e-02  0.00000e+00
   85.000     7.85989e-09  4.68802e-03   1.81416e-09   197.63   4.45878e-03  0.00000e+00
   90.000     3.44003e-09  2.01009e-03   7.94001e-10   192.30   1.89880e-03  0.00000e+00
   95.000     1.47687e-09  8.46537e-04   3.40879e-10   187.40   7.94431e-04  0.00000e+00
  100.000     6.12173e-10  3.54070e-04   1.41297e-10   188.40   3.31061e-04  0.00000e+00
  105.000     2.47684e-10  1.52627e-04   5.71685e-11   201.15   1.43006e-04  0.00000e+00
  110.000     1.02608e-10  7.06164e-05   2.36832e-11   227.89   6.71201e-05  0.00000e+00
  115.000     4.51664e-11  3.58275e-05   1.04250e-11   272.05   3.52697e-05  0.00000e+00
  120.000     2.16388e-11  1.99648e-05   4.99450e-12   337.14   2.09406e-05  0.00000e+00
