# Atmospheric Model 11 (Windhoek, Namibia, February) as fitted to radiosonde data        
#Col. #1          #2           #3            #4        [ #5 ]     [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [K]    p [mbar]      pw / p
     0.000    1.17052E-03  1.03312E+03  2.71635E-04    297.48   1.00800E+03  2.03000E-02 (extrapolated)
     1.726    9.79014E-04  8.48060E+02  2.26967E-04    292.30   8.27056E+02  1.63763E-02
     2.000    9.54842E-04  8.21565E+02  2.21319E-04    290.42   8.01159E+02  1.55216E-02
     3.000    8.69583E-04  7.30379E+02  2.01396E-04    283.80   7.12046E+02  1.21976E-02
     4.000    7.89212E-04  6.47477E+02  1.82635E-04    277.49   6.31054E+02  8.92680E-03
     5.000    7.13991E-04  5.72357E+02  1.65109E-04    271.38   5.57688E+02  6.08410E-03
     6.000    6.44101E-04  5.04494E+02  1.48861E-04    265.32   4.91430E+02  3.86168E-03
     7.000    5.79621E-04  4.43350E+02  1.33902E-04    259.20   4.31751E+02  2.28263E-03
     8.000    5.20517E-04  3.88384E+02  1.20213E-04    252.88   3.78120E+02  1.25654E-03
     9.000    4.66641E-04  3.39067E+02  1.07750E-04    246.26   3.30014E+02  6.44163E-04
    10.000    4.17743E-04  2.94885E+02  9.64477E-05    239.21   2.86932E+02  3.07536E-04
    11.000    3.73494E-04  2.55356E+02  8.62220E-05    231.66   2.48398E+02  0.00000E+00
    12.000    3.33403E-04  2.20042E+02  7.69646E-05    223.57   2.13984E+02  0.00000E+00
    13.000    2.96909E-04  1.88551E+02  6.85384E-05    215.06   1.83306E+02  0.00000E+00
    14.000    2.63156E-04  1.60565E+02  6.07453E-05    206.57   1.56050E+02  0.00000E+00
    15.000    2.30985E-04  1.35864E+02  5.33182E-05    199.08   1.32002E+02  0.00000E+00
    16.000    1.99344E-04  1.14348E+02  4.60137E-05    194.08   1.11061E+02  0.00000E+00
    17.000    1.68430E-04  9.59700E+01  3.88777E-05    192.72   9.31795E+01  0.00000E+00
    18.000    1.40048E-04  8.05744E+01  3.23262E-05    194.53   7.82046E+01  0.00000E+00
    19.000    1.15816E-04  6.78175E+01  2.67327E-05    197.92   6.58001E+01  0.00000E+00
    20.000    9.59315E-05  5.72632E+01  2.21429E-05    201.69   5.55408E+01  0.00000E+00
    21.000    7.97665E-05  4.85054E+01  1.84116E-05    205.40   4.70302E+01  0.00000E+00
    22.000    6.65925E-05  4.12089E+01  1.53707E-05    208.95   3.99421E+01  0.00000E+00
    23.000    5.58055E-05  3.51062E+01  1.28809E-05    212.35   3.40154E+01  0.00000E+00
    24.000    4.69316E-05  2.99832E+01  1.08326E-05    215.58   2.90417E+01  0.00000E+00
    25.000    3.95994E-05  2.56678E+01  9.14017E-06    218.65   2.48535E+01  0.00000E+00
    27.500    2.62375E-05  1.75638E+01  6.05599E-06    225.62   1.69923E+01  0.00000E+00
    30.000    1.76706E-05  1.21519E+01  4.07862E-06    231.59   1.17468E+01  0.00000E+00
    32.500    1.21034E-05  8.44226E+00  2.79363E-06    234.70   8.15393E+00  0.00000E+00
    35.000    8.21036E-06  5.93672E+00  1.89506E-06    243.10   5.72919E+00  0.00000E+00
    37.500    5.64092E-06  4.22741E+00  1.30200E-06    251.75   4.07629E+00  0.00000E+00
    40.000    3.93372E-06  3.04471E+00  9.07952E-07    259.80   2.93351E+00  0.00000E+00
    42.500    2.78728E-06  2.21389E+00  6.43338E-07    266.40   2.13137E+00  0.00000E+00
    45.000    2.00788E-06  1.62060E+00  4.63444E-07    270.50   1.55901E+00  0.00000E+00
    47.500    1.46908E-06  1.18990E+00  3.39081E-07    271.25   1.14382E+00  0.00000E+00
    50.000    1.08542E-06  8.73149E-01  2.50529E-07    269.20   8.38724E-01  0.00000E+00
    55.000    5.98877E-07  4.63994E-01  1.38228E-07    258.90   4.45055E-01  0.00000E+00
    60.000    3.25606E-07  2.39265E-01  7.51538E-08    245.20   2.29170E-01  0.00000E+00
    65.000    1.71246E-07  1.18771E-01  3.95257E-08    231.10   1.13597E-01  0.00000E+00
    70.000    8.62066E-08  5.65853E-02  1.98975E-08    218.40   5.40427E-02  0.00000E+00
    75.000    4.12878E-08  2.59334E-02  9.52972E-09    208.70   2.47337E-02  0.00000E+00
    80.000    1.88688E-08  1.15824E-02  4.35514E-09    203.70   1.10326E-02  0.00000E+00
    85.000    8.47399E-09  5.08637E-03  1.95590E-09    199.00   4.84044E-03  0.00000E+00
    90.000    3.78930E-09  2.17420E-03  8.74615E-10    190.20   2.06877E-03  0.00000E+00
    95.000    1.64737E-09  8.81424E-04  3.80232E-10    177.70   8.40276E-04  0.00000E+00
   100.000    6.54361E-10  3.39084E-04  1.51034E-10    173.40   3.25694E-04  0.00000E+00
   105.000    2.40583E-10  1.31751E-04  5.55295E-11    187.20   1.29275E-04  0.00000E+00
   110.000    8.99118E-11  5.55708E-05  2.07527E-11    221.70   5.72172E-05  0.00000E+00
   115.000    3.64624E-11  2.62159E-05  8.41596E-12    281.80   2.94938E-05  0.00000E+00
   120.000    1.67165E-11  1.37096E-05  3.85836E-12    368.90   1.77010E-05  0.00000E+00
