# This is a model profile derived for the San Antonio de los Cobres (SAC) CTA site candidate, using the measured
# and model profiles for Windhoek/the H.E.S.S. site as an indicator of a bias in
# the lower atmosphere profile of the NRLMSISE-00 model (which mainly aims at
# the upper atmosphere but provides reasonable results also in the troposphere and
# stratosphere). A compensation for such a bias was found to go to a geographic
# latitude some six to seven degrees closer to the equator.
#
## E.long = -115.480 deg, Lat.=25.000 deg, LST=0.0 h
# Latitude = 25.00000 deg, g=9.78953 (9.78954) m/s^2, reff=6342.589246 km
# Atmospheric Model from annual average NRLMSISE-00 model for east longitude -115.480, latitude 25.000
# H(200 g/cm^2) = 12.528 km, H(300 g/cm^2) = 9.839, H(400 g/cm^2) = 7.779, H(500 g/cm^2) = 6.096 km
#Col. #1          #2           #3            #4        [ #5 ]     [ #6 ]       [ # 7 ]
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1        T [K]    p [mbar]      pw / p
    0.000     1.20580e-03  1.04931e+03   2.78891e-04   295.95   1.02787e+03  9.07589e-03
    1.000     1.09159e-03  9.34523e+02   2.52407e-04   291.08   9.14744e+02  7.80999e-03
    2.000     9.87327e-04  8.30657e+02   2.28237e-04   285.97   8.12485e+02  6.58525e-03
    3.000     8.92260e-04  7.36752e+02   2.06208e-04   280.60   7.20125e+02  5.41685e-03
    4.000     8.05640e-04  6.51924e+02   1.86144e-04   274.91   6.36781e+02  4.32801e-03
    5.000     7.26731e-04  5.75367e+02   1.67874e-04   268.90   5.61643e+02  3.34448e-03
    6.000     6.54832e-04  5.06345e+02   1.51235e-04   262.55   4.93972e+02  2.48892e-03
    7.000     5.89283e-04  4.44190e+02   1.36074e-04   255.87   4.33096e+02  1.77621e-03
    8.000     5.29474e-04  3.88299e+02   1.22246e-04   248.87   3.78408e+02  1.21046e-03
    9.000     4.74848e-04  3.38124e+02   1.09623e-04   241.57   3.29359e+02  7.84460e-04
   10.000     4.24904e-04  2.93174e+02   9.80853e-05   234.00   2.85452e+02  4.81486e-04
   11.000     3.79014e-04  2.53008e+02   8.74875e-05   226.32   2.46247e+02  2.81707e-04
   12.000     3.36130e-04  2.17274e+02   7.75862e-05   219.08   2.11391e+02  1.64881e-04
   13.000     2.95666e-04  1.85705e+02   6.82452e-05   212.81   1.80615e+02  1.02326e-04
   14.000     2.57514e-04  1.58067e+02   5.94385e-05   207.91   1.53684e+02  7.13287e-05
   15.000     2.21828e-04  1.34123e+02   5.12013e-05   204.73   1.30361e+02  5.91266e-05
   16.000     1.89000e-04  1.13610e+02   4.36243e-05   203.47   1.10386e+02  6.05557e-05
   17.000     1.59757e-04  9.62043e+01   3.68738e-05   203.77   9.34416e+01  0.00000e+00
   18.000     1.34412e-04  8.15287e+01   3.10239e-05   205.18   7.91608e+01  0.00000e+00
   19.000     1.12886e-04  6.91946e+01   2.60554e-05   207.27   6.71623e+01  0.00000e+00
   20.000     9.48772e-05  5.88341e+01   2.18988e-05   209.62   5.70868e+01  0.00000e+00
   21.000     7.99475e-05  5.01161e+01   1.84528e-05   211.83   4.86113e+01  0.00000e+00
   22.000     6.75456e-05  4.27603e+01   1.55903e-05   213.85   4.14624e+01  0.00000e+00
   23.000     5.71993e-05  3.65384e+01   1.32023e-05   215.72   3.54175e+01  0.00000e+00
   24.000     4.85346e-05  3.12643e+01   1.12024e-05   217.46   3.02950e+01  0.00000e+00
   25.000     4.12527e-05  2.67854e+01   9.52163e-06   219.12   2.59462e+01  0.00000e+00
   26.000     3.51140e-05  2.29757e+01   8.10474e-06   220.74   2.22484e+01  0.00000e+00
   27.000     2.99249e-05  1.97309e+01   6.90703e-06   222.36   1.91000e+01  0.00000e+00
   28.000     2.55281e-05  1.69643e+01   5.89220e-06   224.03   1.64163e+01  0.00000e+00
   29.000     2.17951e-05  1.46031e+01   5.03057e-06   225.81   1.41268e+01  0.00000e+00
   30.000     1.86202e-05  1.25866e+01   4.29776e-06   227.74   1.21720e+01  0.00000e+00
   32.000     1.36103e-05  9.39016e+00   3.14141e-06   232.29   9.07493e+00  0.00000e+00
